Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,21.669910604003967,22.004549409894167,21.53931992642553,21.84947395324707,64731500,0.0,0
2012-01-04,21.89028070964038,22.420805477451346,21.8576338219781,22.363672256469727,80516100,0.0,0
2012-01-05,22.347342629229857,22.633010221808636,22.273886760565222,22.592201232910156,56081400,0.0,0
2012-01-06,22.4697771149884,23.0084639692343,22.4697771149884,22.94316864013672,99455500,0.0,0
2012-01-09,22.894191565980066,22.93500211178249,22.624848190736646,22.641172409057617,59706800,0.0,0
2012-01-10,22.796252923583644,22.975814682819085,22.649338049316746,22.722795486450195,60014400,0.0,0
2012-01-11,22.38815625644263,22.837061423166684,22.339185151671344,22.62485122680664,65582400,0.0,0
2012-01-12,22.747281604187133,22.869710146005673,22.567718289874133,22.85338592529297,49370800,0.0,0
2012-01-13,22.796254662653137,23.057435989379883,22.681988221401063,23.057435989379883,60196100,0.0,0
2012-01-17,23.179865889424136,23.38391400738872,22.99214199451998,23.06559944152832,72395300,0.0,0
2012-01-18,23.106404409163748,23.17986184335,22.828898892629763,23.041109085083008,64860600,0.0,0
2012-01-19,22.98397898036031,23.212513423940507,22.877874648161647,22.951332092285156,74053500,0.0,0
2012-01-20,23.522667914103145,24.27356508637128,23.465534687424647,24.24907875061035,165902900,0.0,0
2012-01-23,24.118485050238398,24.44496325907312,23.95524750258451,24.265399932861328,76078100,0.0,0
2012-01-24,24.053190666541564,24.134810221962734,23.816495668260053,23.947086334228516,51703300,0.0,0
2012-01-25,23.726713842772416,24.20010539292966,23.726713842772416,24.12664794921875,59231700,0.0,0
2012-01-26,24.167460353324838,24.24091780265365,23.99605911930306,24.077678680419922,49102800,0.0,0
2012-01-27,24.036866944774683,24.102162274890073,23.808332510989093,23.857303619384766,44187700,0.0,0
2012-01-30,23.645093383408067,24.17561969141801,23.530826945012556,24.167457580566406,51114800,0.0,0
2012-01-31,24.208267647048597,24.240916091896697,23.857304648749185,24.102163314819336,50572400,0.0,0
2012-02-01,24.31437807990407,24.52658678402008,24.289891741691996,24.39599609375,67409900,0.0,0
2012-02-02,24.404154804551027,24.62452714744834,24.24907779768659,24.444965362548828,52223300,0.0,0
2012-02-03,24.60004394356365,24.812254201869976,24.559234937135585,24.681663513183594,41838500,0.0,0
2012-02-06,24.518420949781632,24.665334277135464,24.46128617291996,24.649011611938477,28039700,0.0,0
2012-02-07,24.608199502864654,24.88570503161249,24.526579954980576,24.771438598632812,39242400,0.0,0
2012-02-08,24.697983177442225,25.032621949998255,24.66533473291797,25.024459838867188,49659100,0.0,0
2012-02-09,25.040781303686604,25.138723512947127,24.87754221256794,25.114238739013672,50481600,0.0,0
2012-02-10,25.008141591679305,25.138732287450694,24.77960865246132,24.893875122070312,44605300,0.0,0
2012-02-13,24.999970752821326,25.114238739311087,24.836733218464076,24.95916175842285,33319800,0.0,0
2012-02-14,24.918090695209685,25.024893559912346,24.52373948659806,24.852365493774414,59644000,0.2,0
2012-02-15,24.918082507300813,24.967376000426665,24.671613474659665,24.68804359436035,43311300,0.0,0
2012-02-16,24.90165351773225,25.920394699075644,24.893437673486083,25.706789016723633,94705100,0.0,0
2012-02-17,25.63285345883621,25.731440476817077,25.4274620098616,25.673931121826172,70036500,0.0,0
2012-02-21,25.61641367702433,25.969687108416856,25.591766146806744,25.830020904541016,50829900,0.0,0
2012-02-22,25.83823926996814,26.02719898571124,25.61641617739386,25.690357208251953,49253200,0.0,0
2012-02-23,25.632846227332298,25.953256295895063,25.46853248770362,25.772512435913086,35034700,0.0,0
2012-02-24,25.862882614135742,25.879314300885827,25.66570707417042,25.862882614135742,35575400,0.0,0
2012-02-27,25.665711715681667,25.87931898102684,25.550693021654332,25.756084442138672,34568400,0.0,0
2012-02-28,25.805377094864298,26.232591611492165,25.780729561093107,26.183298110961914,45230600,0.0,0
2012-02-29,26.199730670564126,26.29010340245399,25.96969326868051,26.076496124267578,59323600,0.0,0
2012-03-01,26.232592405960865,26.610511866491855,26.166867214259295,26.528356552124023,77344100,0.0,0
2012-03-02,26.544790895395398,26.651592187945273,26.290104380956006,26.355831146240234,47314200,0.0,0
2012-03-05,26.298313853943664,26.331177230580444,25.97790533380736,26.12578582763672,45240000,0.0,0
2012-03-06,25.912179726982785,26.273667462048,25.87110050685354,25.92860984802246,51932900,0.0,0
2012-03-07,26.018988918109578,26.224380367868257,25.90397020768869,26.158655166625977,34340400,0.0,0
2012-03-08,26.32296605796315,26.462630724105363,26.207945793180986,26.298316955566406,36747400,0.0,0
2012-03-09,26.37225821759255,26.421553288778192,26.224377705072353,26.28188705444336,34628400,0.0,0
2012-03-12,26.265454707003656,26.454416007797164,26.142220166146817,26.322965621948242,34073600,0.0,0
2012-03-13,26.48728098940696,26.856983067320538,26.413339947019324,26.840551376342773,48951700,0.0,0
2012-03-14,26.725538936828734,27.013088895291915,26.69267868119679,26.92271614074707,41986900,0.0,0
2012-03-15,26.939141898293794,27.062374881310518,26.766613841655598,26.988433837890625,49068300,0.0,0
2012-03-16,27.037723648769635,27.070587024787276,26.700881879648872,26.783037185668945,65626400,0.0,0
2012-03-19,26.73374488455139,26.791254224771908,26.413334807887345,26.45441246032715,44789200,0.0,0
2012-03-20,26.37225821759255,26.41333901059283,26.076495625539916,26.28188705444336,41566800,0.0,0
2012-03-21,26.257233655662606,26.4133331125482,26.142214982604038,26.216156005859375,37928600,0.0,0
2012-03-22,26.13400598161047,26.364044954967994,26.117575857594602,26.290103912353516,31749500,0.0,0
