Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-02-14,68.61128730898012,68.92458205891343,68.31366058312366,68.916748046875,2850300,0.0,0
2012-02-15,68.93254359533601,69.16910243630126,68.40423566858037,68.6092529296875,3647000,0.59,0
2012-02-16,68.59346466755733,69.2006294238967,68.56980999163709,69.1138916015625,2548800,0.0,0
2012-02-17,69.38200270635939,69.50816902965772,68.97986108671412,69.04293823242188,2834600,0.0,0
2012-02-21,69.18487067167031,69.4293164131874,68.9167762650312,69.07447814941406,2406700,0.0,0
2012-02-22,69.11390760435967,69.46085295808903,68.95619970180873,69.20064544677734,2650000,0.0,0
2012-02-23,69.29522322037354,69.53178192642815,68.81422492975024,69.31099700927734,3531300,0.0,0
2012-02-24,69.42143185451481,69.7526094324482,69.2952655300022,69.54759216308594,2524800,0.0,0
2012-02-27,68.92467773571208,69.64222928207857,68.6802319425156,69.44509887695312,3012900,0.0,0
2012-02-28,69.25581145181455,69.5475604161755,68.78269998274006,69.20849609375,2497700,0.0,0
2012-02-29,69.5002804563773,69.64221455869838,68.79849684377342,69.07447814941406,3277700,0.0,0
2012-03-01,69.16907154461046,69.56333209284382,68.73538253517836,68.98770904541016,2525200,0.0,0
2012-03-02,68.97196060033201,69.05081152888947,68.6328961931888,69.01138305664062,2820500,0.0,0
2012-03-05,68.91675144908814,68.95617389801775,68.11245648690345,68.64865112304688,2701900,0.0,0
2012-03-06,67.59206637399106,67.7024589066868,66.89028269502164,66.98490142822266,3547900,0.0,0
2012-03-07,67.21355018381462,67.55261456456671,66.92968205035056,67.39491271972656,3150800,0.0,0
2012-03-08,67.86015576430523,68.54617160875415,67.79707861883816,68.37269592285156,2603200,0.0,0
2012-03-09,68.4515378035633,68.81425690972537,68.32537751339156,68.44365692138672,1958300,0.0,0
2012-03-12,68.68021691173429,69.19275705607866,68.56982439029903,69.02716827392578,2049300,0.0,0
2012-03-13,69.20063538412224,69.99703761641737,69.00350504655484,69.98126983642578,3107100,0.0,0
2012-03-14,69.86300068145326,70.37554083751984,69.86300068145326,70.0759048461914,2960900,0.0,0
2012-03-15,70.17842025756836,70.9669418334961,70.03648613326368,70.9669418334961,3252200,0.0,0
2012-03-16,70.87228351437518,70.96690822441256,70.47014203257984,70.61995697021484,5007100,0.0,0
2012-03-19,70.58843381251496,70.8880757978224,70.33610720253766,70.76190948486328,2585400,0.0,0
2012-03-20,70.3124573755878,70.75403348547997,69.98127980512469,70.45439147949219,2485300,0.0,0
2012-03-21,70.50957102349184,70.68304666668202,70.02069168279944,70.10742950439453,2433800,0.0,0
2012-03-22,69.78415919928655,70.00494427714032,69.16911333499613,69.83935546875,3064200,0.0,0
2012-03-23,69.88664117231058,69.91818274645765,69.40564269446298,69.75259399414062,2326100,0.0,0
2012-03-26,70.11532524397856,70.45438970499134,69.8629986229417,70.27303314208984,2572500,0.0,0
2012-03-27,70.47803891830297,70.50958049547835,70.1232067029762,70.2887954711914,2308400,0.0,0
2012-03-28,70.40707390924372,70.65940050722124,69.42142219590332,69.74471282958984,2289600,0.0,0
2012-03-29,69.29527891132459,70.0364911711149,69.16911857839115,69.99706268310547,2207100,0.0,0
2012-03-30,70.35188866942454,70.40708493337645,69.98916950403466,70.34400177001953,2471800,0.0,0
2012-04-02,70.01281277315799,70.46226971090992,69.4293086470805,70.3597640991211,2640900,0.0,0
2012-04-03,70.35187416663749,70.35187416663749,69.54757903949336,70.01280975341797,2298400,0.0,0
2012-04-04,69.37410854169403,69.42930479358458,68.71963440074873,69.26371002197266,2392700,0.0,0
2012-04-05,68.88523244696216,69.22429690171663,68.57770957124777,68.81426239013672,2048400,0.0,0
2012-04-09,68.00208140090506,68.41999676529386,67.73398702221814,68.07305145263672,1932700,0.0,0
2012-04-10,67.96266576900621,68.12825455175992,66.58275323011732,66.69314575195312,3651000,0.0,0
2012-04-11,67.30817986635584,67.5683933438867,67.11893643539713,67.30029296875,2527700,0.0,0
2012-04-12,67.58418860178314,68.54618595886096,67.08742213756183,68.4909896850586,2476000,0.0,0
2012-04-13,68.19920330219942,68.2780542264096,67.47376517396198,67.56838989257812,2609700,0.0,0
2012-04-16,67.84437433936102,68.54615782507244,67.74974961627606,68.12824249267578,3060200,0.0,0
2012-04-17,68.36477072796512,69.12963708775062,68.33323518086748,68.95616149902344,2354200,0.0,0
2012-04-18,68.52252372294991,69.09814108405033,68.35693491978643,68.7038803100586,1781600,0.0,0
2012-04-19,68.75117977260979,69.03504794542195,67.91534303446707,68.44365692138672,2565000,0.0,0
2012-04-20,68.59344062705199,69.23214673274578,68.53036351868515,68.97982025146484,3177200,0.0,0
2012-04-23,68.22288168451334,68.79061816161213,67.82862091052161,68.7038803100586,2769900,0.0,0
2012-04-24,70.43863691593346,70.76981454854615,69.68953777632767,69.77627563476562,5701200,0.0,0
2012-04-25,70.16264027638948,70.38342531671847,69.78414733872467,70.02070617675781,2962900,0.0,0
2012-04-26,69.86298120846095,70.61996088288208,69.7920171839557,70.43071746826172,2750900,0.0,0
2012-04-27,70.50168585301289,70.60419144687086,69.98125895510422,70.4622573852539,2618000,0.0,0
2012-04-30,70.3755195689358,70.54110830483232,69.95760428082465,70.4622573852539,2072900,0.0,0
2012-05-01,70.28090614690413,70.92749341682824,69.97338329998537,70.6515121459961,2294200,0.0,0
2012-05-02,70.30457014576965,70.6436285687728,70.0916660011621,70.58843231201172,2100200,0.0,0
2012-05-03,70.57263104268279,70.84861219552803,70.26510832723551,70.48589324951172,2343600,0.0,0
2012-05-04,70.31245836870107,70.36765463122453,69.62644853675825,69.91819763183594,2823800,0.0,0
2012-05-07,69.15334321004138,69.87878766775752,69.15334321004138,69.39778900146484,2753500,0.0,0
2012-05-08,68.69599287523428,69.29526486307714,68.04940550818385,69.04293823242188,2710400,0.0,0
2012-05-09,68.31749605612296,69.26371936356091,67.79707504181441,68.81426239013672,3192800,0.0,0
2012-05-10,68.7117672100022,69.14545646776988,68.50674992306273,68.7038803100586,2828500,0.0,0
2012-05-11,68.18345623277487,68.97986464584879,68.00209363766116,68.38847351074219,2601800,0.0,0
2012-05-14,67.38703976996656,68.24653124527377,67.21356409517387,67.67879486083984,2631900,0.0,0
2012-05-15,67.7734286359204,68.17557633354971,67.4185963247984,67.6393814086914,2611300,0.0,0
2012-05-16,68.21103750451962,68.49686562323328,67.69494768296516,67.76640319824219,2770600,0.59,0
2012-05-17,67.93312936640108,67.99664940957153,66.89301440430474,66.96446990966797,2777200,0.0,0
2012-05-18,67.3138283316955,67.3138283316955,66.114913186116,66.30547332763672,3602900,0.0,0
2012-05-21,66.59928005275312,67.19476719718706,66.49606446179028,67.0597915649414,2450000,0.0,0
2012-05-22,67.24237906486802,67.48057017747584,66.44045505326201,66.79774475097656,3000900,0.0,0
2012-05-23,66.19430930578213,67.39321826755048,65.86083212202769,67.32970428466797,3200000,0.0,0
2012-05-24,67.45675794766271,67.48851797715294,66.71835392043195,67.47264099121094,2322100,0.0,0
2012-05-25,67.38529671874662,67.64730633904477,67.01212397584214,67.31383514404297,2346000,0.0,0
2012-05-29,67.79021654250577,68.28248782149157,67.59172093837353,68.068115234375,2142200,0.0,0
2012-05-30,67.5361640201005,67.58380709950738,66.77394138326784,67.05183410644531,2697100,0.0,0
2012-05-31,67.05181164371344,67.52820593254526,66.59130645283702,67.02005767822266,3683200,0.0,0
2012-06-01,65.94024849749542,66.67865245863457,65.67823282085764,65.78144836425781,3539200,0.0,0
2012-06-04,65.73380673732764,65.8926008018092,65.09861836419094,65.59883117675781,2899900,0.0,0
2012-06-05,65.575011493513,65.78939015987699,65.30506035229105,65.5114974975586,3268700,0.0,0
2012-06-06,66.07523556431691,67.20268944724978,65.92437692589394,67.19474792480469,2776300,0.0,0
2012-06-07,67.95696119564634,68.43335555524877,67.75053010126494,67.88550567626953,3032400,0.0,0
2012-06-08,67.6314357536937,68.35395674456214,67.48057712651627,68.28250122070312,2146200,0.0,0
2012-06-11,68.71124054472075,68.71124054472075,67.55202691834012,67.63142395019531,2098200,0.0,0
2012-06-12,68.02045812811102,68.87001889611003,67.66316853747367,68.8620834350586,2570900,0.0,0
2012-06-13,68.52070094537774,68.9176922462024,68.06018958259558,68.3857192993164,2661900,0.0,0
2012-06-14,68.52862399760758,69.25909246259913,68.33012838314797,68.96531677246094,3334900,0.0,0
2012-06-15,69.52905020436084,69.79900741565964,69.08442192411106,69.42583465576172,4696100,0.0,0
2012-06-18,69.13204723872849,69.56079846110173,68.81445306760702,69.32260131835938,2950600,0.0,0
2012-06-19,69.72753143310547,70.00542405085339,69.48933429926167,69.72753143310547,3212500,0.0,0
2012-06-20,69.81486348710811,70.0927560790182,69.35435230188328,69.50521087646484,3446800,0.0,0
2012-06-21,69.90219824755727,70.17214930579814,68.77474490266212,68.8620834350586,3722800,0.0,0
2012-06-22,69.16380426621527,69.18762276793696,68.5841944747003,68.94149017333984,3026000,0.0,0
2012-06-25,68.17927415430545,68.52862230796919,67.85373844696744,68.16339111328125,2908900,0.0,0
2012-06-26,68.21106523665333,68.65569366609492,67.71879372005155,68.4254379272461,2389100,0.0,0
2012-06-27,68.59215177485115,69.55286993014637,68.47305318123803,69.20352172851562,2887800,0.0,0
2012-06-28,68.56833326764973,69.27497725011983,68.2666220804218,69.20352172851562,3267100,0.0,0
2012-06-29,70.36275417151265,71.14085388183594,70.14837543466298,71.14085388183594,4629400,0.0,0
2012-07-02,70.89469078788282,71.21228496641457,70.0927668500513,70.88674926757812,2289700,0.0,0
2012-07-03,70.75177574100967,71.25992401820236,70.7279572370171,71.22022247314453,1410400,0.0,0
2012-07-05,70.8232211234998,71.41870786856602,70.55327004005323,71.11699676513672,1924800,0.0,0
2012-07-06,70.51358467611503,70.96615446387828,70.1483534489382,70.65650177001953,2192900,0.0,0
2012-07-09,70.5532705198094,70.72794760209999,70.11657781408294,70.6326675415039,2600900,0.0,0
2012-07-10,70.72793828226526,71.31548343450899,69.83867600669348,70.06893157958984,3356800,0.0,0
2012-07-11,70.1721754430332,70.47389268827669,69.08442322865234,69.7513656616211,4208600,0.0,0
2012-07-12,68.75888478567535,69.05266049781027,67.75846511776201,68.6080322265625,4938300,0.0,0
2012-07-13,68.53655928126061,69.73547437962101,68.53655928126061,69.54491424560547,2599300,0.0,0
2012-07-16,69.96574266198581,70.38655243329384,69.6878439306487,69.94985961914062,2848100,0.0,0
2012-07-17,70.0689648623438,70.94234451596219,69.5131794621157,70.64857482910156,3078500,0.0,0
2012-07-18,70.4659328065886,72.24445155538055,70.31507422327343,72.14917755126953,4273300,0.0,0
2012-07-19,72.1491840346563,72.41119362711053,71.7760113314091,72.11742401123047,3355100,0.0,0
2012-07-20,71.60133620111921,71.84746881743418,71.33137902337565,71.45047760009766,3024800,0.0,0
2012-07-23,70.21981676339924,71.10907331850747,69.69578538690536,70.95027923583984,2434800,0.0,0
2012-07-24,70.88676249265717,71.06938114810508,69.53699455408244,70.06101989746094,2850400,0.0,0
2012-07-25,70.41829775004635,70.79147043006992,69.83868795940455,70.46593475341797,3541200,0.0,0
2012-07-26,71.45841790319739,73.04638274549066,71.08524519604164,71.92686462402344,4759400,0.0,0
2012-07-27,72.2047677552852,73.10990728641474,71.98245363291733,72.81613159179688,3915400,0.0,0
2012-07-30,72.5779454208978,73.00669065313154,72.1809541589284,72.47472381591797,2714900,0.0,0
2012-07-31,72.25240943094487,72.77644080260036,72.1491938839245,72.43502807617188,2720200,0.0,0
2012-08-01,72.76849723612125,72.88759582247808,71.94275471034786,72.41120147705078,2149700,0.0,0
2012-08-02,71.54576064348414,72.03803195415779,70.84705825270053,71.52194213867188,2949800,0.0,0
2012-08-03,72.2762301696628,72.87965860055631,72.26035318409464,72.80819702148438,2713500,0.0,0
2012-08-06,73.04636561733075,73.31631666957111,72.57791900634766,72.57791900634766,1858500,0.0,0
2012-08-07,72.80819702148438,73.29252685899539,72.74468302160565,72.80819702148438,1764800,0.0,0
2012-08-08,72.63353196607785,73.1099203214612,72.45091330008417,72.75262451171875,2022300,0.0,0
2012-08-09,72.64938495032521,73.10195464705585,72.51440940478906,72.72084045410156,1834900,0.0,0
2012-08-10,72.54617943747091,73.28458336642022,72.21270220101236,73.27664184570312,1755100,0.0,0
2012-08-13,73.27664459594702,73.51483570795108,72.83995180419777,73.36398315429688,2075400,0.0,0
2012-08-14,73.33222105494328,73.44337811559086,73.0543284033243,73.28458404541016,1843500,0.0,0
2012-08-15,73.04638455825072,73.63392986835065,72.99874755023338,73.47513580322266,1983400,0.0,0
2012-08-16,73.64184631026308,74.53110852191662,73.21309521130172,74.42788696289062,3395200,0.0,0
2012-08-17,74.57877277114012,74.8725484623185,74.30881558456436,74.82490539550781,3069600,0.0,0
2012-08-20,74.63435852222634,74.76933409977087,74.27706880340702,74.5470199584961,1639500,0.0,0
2012-08-21,74.61846514875371,74.71373915545777,73.83241824781702,74.00709533691406,2302800,0.0,0
