Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,48.291655233709875,49.169392610765215,48.21112703701324,48.58155059814453,12668800,0.0,0
2012-01-04,48.4849070781804,48.59764345920215,47.88901390082657,48.082275390625,9593300,0.0,0
2012-01-05,47.79238287431347,48.00980436690723,47.003225089252474,47.848751068115234,12768200,0.0,0
2012-01-06,47.84874147414802,47.8729014608161,47.40584729515017,47.51053237915039,8069400,0.0,0
2012-01-09,47.53468110473381,47.95341829675931,47.44610166982754,47.65547180175781,6679300,0.0,0
2012-01-10,47.85679586326452,48.08226859343388,47.49442678132408,47.54274368286133,6907300,0.0,0
2012-01-11,47.55885574753181,47.93732744265871,47.54275011150828,47.832645416259766,6365600,0.0,0
2012-01-12,48.14670080548209,48.31580538709625,47.83264856195975,47.91317367553711,7236400,0.0,0
2012-01-13,47.655485863620825,48.00174935397205,47.51858949514348,47.94538116455078,7729300,0.0,0
2012-01-17,48.211124406771205,48.40438899646263,47.92928341330084,48.19501876831055,8500000,0.0,0
2012-01-18,48.14670809210573,48.33996962267447,48.0339716873012,48.3238639831543,5911400,0.0,0
2012-01-19,48.2594275716422,48.90363756733209,48.11447993863253,48.8070068359375,9234600,0.0,0
2012-01-20,48.91974893714003,49.322380615635005,48.855326394099585,49.12911605834961,10378800,0.0,0
2012-01-23,48.968066505717445,49.10495980377319,48.72648503788924,49.04859161376953,7134100,0.0,0
2012-01-24,48.91974399460139,49.92632308914052,48.91974399460139,49.43511199951172,7362800,0.0,0
2012-01-25,49.26601131612595,49.61227479757506,49.15327494018175,49.49953842163086,5915800,0.0,0
2012-01-26,49.76526783470228,49.797479101683294,48.935847676871816,49.096900939941406,7436200,0.0,0
2012-01-27,49.008321997024204,49.217689090888776,48.75063800218988,48.88753128051758,6287300,0.0,0
2012-01-30,48.694280955758245,49.37875364759355,48.59764713172043,49.362648010253906,7636900,0.0,0
2012-01-31,49.54785445030763,49.580065722528474,48.782856701996636,49.41096115112305,9761500,0.0,0
